EC	0_1	24_2	144_1	144_2	144_4	240_1	240_5	0_3	24_5	36_1	36_5	144_5	24_1	36_3	36_4	240_3	240_4
EC:2.7.1.25	216.89922	450.18646	355.46826	354.67047	393.91327	561.0141	873.14514	222.75612	331.3144	132.32314	118.11629	311.3604	444.912	108.73356	149.35272	0	790.04956	
EC:2.3.1.204	0	2.191008	2.77143	13.989756	0.766082	19.251583	3.293783	0	2.9634762	2.76622	0	3.8997698	5.4534	0	0	0	1.12013	
EC:2.7.1.24	118.620575	97.98346	85.359436	122.47265	87.40356	114.76232	98.48331	124.91393	90.53265	100.56367	93.44096	84.821495	97.06586	103.79103	99.34521	0	97.94286	
EC:2.7.1.59	0	1.04518	0	1.17451	0	0	0	0	0	0	0	0	0	0	0	0	0	
EC:2.1.1.163	231.81012	269.35257	287.28506	335.2925	269.08725	349.88943	362.00235	247.03133	214.88565	261.71072	238.30197	297.05228	286.90497	249.5079	208.45242	0	335.78073	
EC:5.1.3.30	0	5.71794	0	2.123392	0	1.06932	0	0	0	0	0	0	0	0	0	0	0.750227	
EC:2.1.1.166	150.69514	132.12282	168.24467	129.74928	177.38792	168.38907	161.15408	162.88126	129.78957	208.94287	145.79874	141.39601	153.58238	223.0793	185.61617	0	176.67209	
EC:5.1.3.32	0	0	0	3.1933498	0	0.652597	0	0	0	0	0	0	0	1.31147	0	0	0.896105	
EC:2.7.1.50	0	0	0	0	0	1.49921	0	0	0	0	4.03974	1.39142	0	0	3.12322	0	0	
EC:2.7.1.52	0	0	0	0	0	0.244724	1.54451	0	0.328385	0	4.33848	0	0	0	0	0	3.1556182	
EC:2.7.1.53	0	0	0	0.877812	0	0	0	0	0	0	0	0	0	0	0	0	0	
EC:2.7.1.56	35.37913	22.59006	13.98268	19.323881	13.62155	26.955177	12.73524	28.86215	15.671428	25.279701	18.23486	13.35707	18.07864	15.867101	23.50758	0	11.660134	
EC:2.7.1.58	13.009304	15.186449	12.859088	14.269665	10.53142	9.777842	11.06289	14.39504	8.164855	23.890999	9.521004	15.966046	11.37315	25.8631	15.6727	0	9.358669	
EC:1.4.4.2	392.067	274.5813	200.99544	196.02022	169.1192	418.97635	199.65169	300.53278	221.66293	168.0518	215.99554	129.1783	231.68668	225.36842	160.12692	0	198.73904	
EC:2.7.1.49	165.53876	151.3845	111.69599	156.98055	121.72633	126.22974	155.64774	145.21703	108.49943	114.12168	114.28145	109.60743	114.02788	111.225174	129.58559	0	186.7594	
EC:2.7.1.48	1.26096	10.943618	5.515423	13.856539	4.064367	7.5207396	6.172906	2.91331	8.979629	5.1125402	2.21484	5.8122883	8.160534	0	4.17877	0	3.8338168	
EC:4.3.1.23	0	0.954295	0	1.526364	0	0	0	0	0	0	0	0	0	0	0	0	0	
EC:4.3.1.24	9.091572	0	0	0	0	0	0	3.46801	33.495384	0	0	0	0	0	1.1394	0	0	
